Time,Lon,Lat
2019-07-13T17:50:00.000Z,176.519,37.222
2019-07-13T18:00:00.000Z,-156.401,8.916
2019-07-13T18:10:00.000Z,-133.941,-21.344
2019-07-13T18:20:00.000Z,-99.716,-46.034
2019-07-13T18:30:00.000Z,-43.665,-49.415
2019-07-13T18:40:00.000Z,-4.039,-27.846
2019-07-13T18:50:00.000Z,19.458,1.871
2019-07-13T19:00:00.000Z,43.947,31.233
2019-07-13T19:10:00.000Z,87.12,50.724
2019-07-13T19:20:00.000Z,142.064,43.492
2019-07-13T19:30:00.000Z,173.637,17.293
2019-07-13T19:40:00.000Z,-164.17,-13.099
2019-07-13T19:50:00.000Z,-135.199,-40.408
2019-07-13T20:00:00.000Z,-83.091,-51.606
2019-07-13T20:10:00.000Z,-36.124,-35.241
2019-07-13T20:20:00.000Z,-10.134,-6.628
2019-07-13T20:30:00.000Z,12.565,23.483
2019-07-13T20:40:00.000Z,48.603,47.316
2019-07-13T20:50:00.000Z,105.286,48.343
2019-07-13T21:00:00.000Z,143.011,25.395
2019-07-13T21:10:00.000Z,166.075,-4.648
2019-07-13T21:20:00.000Z,-168.578,-33.624
2019-07-13T21:30:00.000Z,-123.214,-51.323
2019-07-13T21:40:00.000Z,-69.923,-41.793
2019-07-13T21:50:00.000Z,-39.955,-15.027
2019-07-13T22:00:00.000Z,-17.854,15.316
2019-07-13T22:10:00.000Z,12.426,42.073
2019-07-13T22:20:00.000Z,66.267,51.218
2019-07-13T22:30:00.000Z,111.31,33.025
2019-07-13T22:40:00.000Z,136.478,3.876
2019-07-13T22:50:00.000Z,159.64,-26.071
2019-07-13T23:00:00.000Z,-162.272,-48.617
2019-07-13T23:10:00.000Z,-105.917,-47.085
2019-07-13T23:20:00.000Z,-70.33,-23.187
2019-07-13T23:30:00.000Z,-47.698,6.911
2019-07-13T23:40:00.000Z,-21.509,35.539
2019-07-13T23:50:00.000Z,26.067,51.661
2019-07-14T00:00:00.000Z,78.036,39.912
2019-07-14T00:10:00.000Z,111.3100052,33.02500534
0:20:00,136.4779968,3.876000643
0:30:00,159.6399994,-26.07099724
0:40:00,-162.2720032,-48.61700058
0:50:00,-105.9169998,-47.08499908
1:00:00,-70.33000946,-23.18700218
1:10:00,-47.69800186,6.910999298
1:20:00,-21.50900078,35.53900146
1:30:00,26.0669899,51.66099548
1:40:00,78.03600311,39.91199875
1:50:00,98.20301819,12.78904057
2:00:00,125.3838654,-21.11661148
2:10:00,47.39585876,-43.21629333
2:20:00,-104.538475,-46.83691788
2:30:00,-105.0737839,-33.58308411
2:40:00,-78.6285553,-1.411671996
2:50:00,-49.37918854,30.6534214
3:00:00,-14.9135437,45.62651062
3:10:00,30.28800011,42.51804733
3:20:00,67.22187805,20.85285187
3:30:00,93.75534821,-12.00818253
3:40:00,90.19561005,-38.86560822
3:50:00,6.078260899,-46.71007156
4:00:00,-84.86641693,-37.12426758
4:10:00,-95.19030762,-11.01800156
4:20:00,-73.7858429,22.22723007
4:30:00,-44.17806244,42.50276566
4:40:00,-6.543231964,43.46694946
4:50:00,32.90740585,27.07016754
5:00:00,64.46839905,-3.109863758
5:10:00,83.16020966,-32.55104446
5:20:00,60.34670258,-45.33832169
5:30:00,-13.94369888,-40.43257904
5:40:00,-75.7868042,-18.72142792
5:50:00,-84.41049194,13.56578636
6:00:00,-65.56988525,37.85534668
6:10:00,-36.06007004,43.85820389
6:20:00,0.898943067,32.09030914
6:30:00,35.40971756,5.349337101
6:40:00,61.7592926,-25.40579796
6:50:00,69.71964264,-42.93515778
7:00:00,37.49758148,-42.46073914
7:10:00,-25.45649719,-25.49416924
7:20:00,-69.78742218,4.857167721
7:30:00,-74.55413818,32.30714798
7:40:00,-56.54109192,43.10572433
7:50:00,-27.34874153,36.0503273
8:00:00,7.116456985,13.14298344
8:10:00,37.17985535,-17.59442139
8:20:00,57.49196243,-39.43933105
8:30:00,55.95578003,-43.47282028
8:40:00,20.05470085,-31.04575539
8:50:00,-32.52900314,-3.718497038
9:00:00,-64.6844101,25.82849312
9:10:00,-65.65713501,41.29392242
9:20:00,-47.56917191,38.87388229
9:30:00,-19.16860199,20.12388039
9:40:00,12.12159157,-9.436727524
9:50:00,37.80796051,-34.80478287
10:00:00,51.83533096,-43.45002365
10:10:00,42.97629166,-35.43769455
10:20:00,6.652739525,-11.81672001
10:30:00,-36.77026367,18.55243683
10:40:00,-59.81602478,38.36381531
10:50:00,-57.50003815,40.58923721
11:00:00,-39.06948471,26.14683914
